Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Anouk,"Raw power, soul-stirring anthems.",,,,,Rock/Pop,Netherlands,"Anouk is a Dutch singer-songwriter known for her powerful voice and dynamic stage presence. She gained international recognition with her 1997 hit single 'Nobody's Wife' and has since released multiple successful albums blending rock, pop, and soul influences.",,,,,,"Anouk's music is characterized by her raw, emotive vocals and a fusion of rock and pop elements, often accompanied by introspective lyrics. Her ability to deliver both high-energy anthems and heartfelt ballads has solidified her as one of the most prominent artists in the Netherlands.",8,,Female,No,,https://bospopfestival.nl/artiest/anouk/,"Anouk is al jaren een van Nederlands grootste en meest eigenzinnige artiesten. Sinds eind jaren ’90 scoort de Haagse zangeres grote hits met o.a. ‘Nobody’s Wife’, ‘Girl’ en ‘Dominique’. Met haar krachtige stem, compromisloze houding en enorme veelzijdigheid beweegt ze zich moeiteloos tussen rock, soul en pop, zowel in het Engels als in het Nederlands. Dat maakt haar een graag geziene gast op Bospop: dit wordt de achtste keer dat de Haagse superster op het festival staat, en het belooft opnieuw een optreden te worden om reikhalzend naar uit te kijken!","Anouk has been one of the Netherlands' biggest and most distinctive artists for years. Since the late '90s, the Hague-based singer has scored major hits with songs like ""Nobody's Wife,"" ""Girl,"" and ""Dominique."" With her powerful voice, uncompromising attitude, and immense versatility, she effortlessly moves between rock, soul, and pop, both in English and Dutch. This makes her a highly anticipated guest at Bospop: this will be the eighth time the Hague superstar graces the festival, and it promises to be another performance to eagerly look forward to!",,Yes
Counting Crows,Timeless tales in every chord.,,,,,Alternative Rock/Folk Rock,USA,"Counting Crows is an American rock band formed in 1991, known for their introspective lyrics and a blend of alternative rock and folk influences. They achieved widespread success with their debut album 'August and Everything After,' featuring the hit single 'Mr. Jones,' and have remained a prominent name in the rock scene with multiple Grammy and Academy Award nominations.",,,,,,"Counting Crows are celebrated for their emotive storytelling, soulful melodies, and dynamic live performances. Their music combines heartfelt folk-rock with introspective alternative rock, making them a staple of '90s and 2000s rock music.",8,7,Male,No,,https://bospopfestival.nl/artiest/counting-crows/,"De doorbraak van de soulvolle rockband Counting Crows kwam in 1993 met het multiplatina-album ‘August and Everything After‘, met de grote hit ‘Mr. Jones‘. Hierna volgden andere succesvolle nummers als ‘Accidentally In Love‘, ‘Big Yellow Taxi‘ en ‘Round Here‘. ‘Accidentally in Love‘ leverde hen zelfs nominaties op voor een Academy Award, Golden Globe én Grammy. De band bracht onlangs het album ‘Butter Miracle, The Complete Sweets!’uit, wat hen opnieuw wereldwijd uitverkochte zalen opleverde. Counting Crows blijft een van de meest gewaardeerde livebands ter wereld.","The breakthrough of the soulful rock band Counting Crows came in 1993 with the multi-platinum album ‘August and Everything After,’ featuring the major hit ‘Mr. Jones.’ This was followed by other successful tracks like ‘Accidentally In Love,’ ‘Big Yellow Taxi,’ and ‘Round Here.’ ‘Accidentally In Love’ even earned them nominations for an Academy Award, Golden Globe, and Grammy. The band recently released the album ‘Butter Miracle, The Complete Sweets!,’ which once again led to sold-out venues worldwide. Counting Crows remains one of the most highly regarded live bands in the world.",,Yes
Chris Isaak,Velvet voice of vintage heartbreak.,,,,,Rock/Rockabilly,USA,"Chris Isaak is an American musician known for his retro rock-and-roll style, blending elements of rockabilly, country, and pop. He is best known for his hit song 'Wicked Game' and his smooth, crooning vocal style reminiscent of 1950s and 1960s rock icons.",,,,,,"Chris Isaak's music is characterized by a nostalgic blend of rockabilly, country, and pop, with his signature falsetto and emotive delivery drawing comparisons to classic rock-and-roll legends like Roy Orbison and Elvis Presley. His timeless sound and enduring appeal have made him a respected figure in contemporary music.",8,,Male,No,,https://bospopfestival.nl/artiest/chris-isaak/,"In zijn veertigjarige carrière heeft zanger en acteur Chris Isaak wereldwijd voor uitverkochte zalen gestaan, samen met zijn vaste band Silvertone. Hij bracht dertien veelgeprezen studioalbums en twaalf hits uit, en was te zien in films als ‘The Silence of the Lambs‘ en ‘That Thing You Do!‘. Isaak schreef muziek voor soundtracks van onder meer Eyes Wide Shut, True Romance, Wild at Heart en Blue Velvet. Hij had zijn eigen geprezen tv-serie The Chris Isaak Show, was jurylid bij The X Factor Australia en presenteerde The Chris Isaak Hour. In 2024 vierde hij het 35-jarig jubileum van ‘Heart-Shaped World’, met zijn klassieker ‘Wicked Game‘. Onlangs ontving hij een Lifetime Achievement Award van de Americana Honors, ter ere van zijn imposante carrière.","In his forty-year career, singer and actor Chris Isaak has performed to sold-out venues worldwide with his longtime band Silvertone. He has released thirteen critically acclaimed studio albums and twelve hits and appeared in films such as *The Silence of the Lambs* and *That Thing You Do!*. Isaak has composed music for soundtracks including *Eyes Wide Shut*, *True Romance*, *Wild at Heart*, and *Blue Velvet*. He starred in his own acclaimed TV series *The Chris Isaak Show*, served as a judge on *The X Factor Australia*, and hosted *The Chris Isaak Hour*. In 2024, he celebrated the 35th anniversary of *Heart-Shaped World*, featuring his classic hit *Wicked Game*. Recently, he received a Lifetime Achievement Award from the Americana Honors, recognizing his remarkable career.",,Yes
OMD,"Synth-pop pioneers, architects of emotion.",,,,,Synth-pop/New Wave,UK,"Orchestral Manoeuvres in the Dark (OMD) are a pioneering synth-pop band from the UK, formed in 1978 by Andy McCluskey and Paul Humphreys. Known for their innovative use of synthesizers, they achieved critical and commercial success with hits like 'Enola Gay,' 'If You Leave,' and 'Electricity,' becoming one of the most influential bands in the electronic music genre.",,,,,,OMD's groundbreaking fusion of melodic synth-pop and experimental electronic textures helped define the sound of the 1980s. Their ability to balance catchy hooks with avant-garde influences has solidified their status as one of the most important acts in the history of electronic music.,9,2,Male,No,,https://bospopfestival.nl/artiest/omd/,"OMD, het invloedrijke synthpopduo uit Wirral, Engeland, combineerde grote experimentatie met enorme hitkracht op albums als ‘Organisation, Architecture and Morality’en ‘Dazzle Ships’. Met klassiekers als ‘Enola Gay’, ‘Maid of Orleans’en ‘Souvenir’bepaalden ze het geluid van de jaren ‘80. Na hun 40-jarig jubileum keerden ze terug met ‘Bauhaus Staircase’(2023), hun meest politiek geladen en artistiek gedurfde plaat in jaren, waarmee het duo ook in AFAS Live te Amsterdam speelde. Songs van OMD zijn stuk voor stuk brede, elektronische, sonische meesterwerken met songteksten die je bij de lurven grijpen.","OMD, the influential synthpop duo from Wirral, England, combined bold experimentation with massive hit-making ability on albums like ‘Organisation, Architecture and Morality’ and ‘Dazzle Ships.’ With classics such as ‘Enola Gay,’ ‘Maid of Orleans,’ and ‘Souvenir,’ they defined the sound of the 1980s. After celebrating their 40th anniversary, they returned with ‘Bauhaus Staircase’ (2023), their most politically charged and artistically daring album in years, which also brought the duo to perform at AFAS Live in Amsterdam. OMD’s songs are expansive, electronic sonic masterpieces with lyrics that grab you by the throat.",,Yes
Palaye Royale,"Glittering chaos, where punk meets glam.",,,,,Alternative Rock/Glam Rock,Canada,"Palaye Royale is a Canadian-American rock band known for their theatrical performances and a unique blend of glam rock, punk, and alternative influences. Since their debut, they have gained a dedicated fanbase and released multiple albums, including 'Boom Boom Room' and 'The Bastards', showcasing their dramatic style and raw energy.",,,,,,"Palaye Royale combines the flamboyance of glam rock with the raw edge of punk and alternative rock, creating a theatrical and high-energy sound. Their visually striking performances and emotionally charged music have earned them a loyal following and critical attention.",8,3,Male,No,,https://bospopfestival.nl/artiest/palaye-royale/,"Palaye Royale brengt hun onweerstaanbare mix van glamrock, punk en pure chaosenergie naar Bospop! Het electrifying trio uit Los Angeles — broers Remington Leith, Sebastian Danzig en Emerson Barrett — staat bekend om hun heerlijke liveshows waar muziek, mode en rebellie samenkomen. Met hun nieuwste album ‘Death or Glory’laten ze horen dat ze niets meer hoeven te bewijzen: het is hun meest zelfverzekerde én meest feestelijke werk tot nu toe. Verwacht explosieve riffs, euforische refreinen en een band zekerder van hun zaak is dan ooit. Energie, emotie en onvervalst rock ’n roll-plezier.","Palaye Royale brings their irresistible mix of glam rock, punk, and pure chaotic energy to Bospop! The electrifying trio from Los Angeles — brothers Remington Leith, Sebastian Danzig, and Emerson Barrett — are known for their sensational live shows where music, fashion, and rebellion collide. With their latest album ‘Death or Glory,’ they prove they have nothing left to prove: it’s their most confident and celebratory work to date. Expect explosive riffs, euphoric choruses, and a band more self-assured than ever. Energy, emotion, and unadulterated rock ’n roll fun.",,Yes
Fantastic Negrito,Blues reborn with fire and soul,,,,,Blues/Rock/Funk,USA,"Fantastic Negrito is an American musician known for his raw blend of blues, rock, and funk, often addressing social and political issues in his lyrics. He has won multiple Grammy Awards for Best Contemporary Blues Album, showcasing his innovative and soulful approach to modern blues music.",,,,,,"Fantastic Negrito's music combines the grit and storytelling of traditional blues with elements of rock, funk, and soul, creating a powerful and socially conscious sound. His ability to modernize the blues genre while maintaining its emotional depth has earned him critical acclaim and multiple Grammy wins.",9,,Male,Yes,,https://bospopfestival.nl/artiest/fantastic-negrito/,"Fantastic Negrito is een drievoudig GRAMMY-winnaar die blues, roots, rock en funk samenbrengt in een rauwe, revolutionaire sound. Zijn muziek zit vol persoonlijke verhalen over strijd, overleven en veerkracht. Sinds zijn doorbraak met ‘The Last Days of Oakland’groeide hij uit tot een van de meest toonaangevende stemmen binnen de moderne americana- en blueswereld. Met elk album zoekt hij nieuwe grenzen op, zowel muzikaal als thematisch, en blijft hij bewijzen dat rootsmuziek springlevend is.","Fantastic Negrito is a three-time GRAMMY winner who blends blues, roots, rock, and funk into a raw, revolutionary sound. His music is filled with personal stories of struggle, survival, and resilience. Since his breakthrough with ‘The Last Days of Oakland,’ he has become one of the leading voices in the modern Americana and blues world. With each album, he explores new boundaries, both musically and thematically, continually proving that roots music is alive and thriving.",,Yes
The Rumjacks,"Celtic chaos, punk-fueled anthems.",,,,,Celtic Punk/Folk Punk,Australia,"The Rumjacks are an Australian band known for their energetic blend of Celtic punk and folk influences, combining traditional Irish instrumentation with punk rock energy. They gained international recognition with their breakout hit 'An Irish Pub Song' and have built a strong reputation for their dynamic live performances.",,,,,,"The Rumjacks' fusion of traditional Celtic melodies with punk rock creates a high-energy, infectious sound that has resonated with fans worldwide. Their ability to combine raucous pub anthems with heartfelt storytelling has made them a standout in the folk-punk genre.",8,5,Male,No,,https://bospopfestival.nl/artiest/the-rumjacks/,"The Rumjacks werden in 2008 opgericht in Sydney en combineren punkrock met invloeden uit de traditionele folk. Na hun beginjaren in Australië verhuisde de band in 2016 naar Europa om intensief te touren, wat sindsdien heeft geleid tot optredens op talloze festivals en in zalen door heel Europa en het Verenigd Koninkrijk. Met nummers als ‘An Irish Pub Song’verwierf de groep een grote internationale achterban en een vaste plek binnen de Celtic punk–scene. The Rumjacks staan bekend om optredens die veel publiek trekken en waarin de nadruk ligt op samenzang, tempo en een sterke livesetting. Hun shows toveren iedere festivalweide om tot een Ierse pub: perfect voor de heilige grassen van Bospop!","The Rumjacks were formed in Sydney in 2008 and combine punk rock with influences from traditional folk. After their early years in Australia, the band relocated to Europe in 2016 to tour extensively, which has since led to performances at countless festivals and venues across Europe and the United Kingdom. With tracks like ‘An Irish Pub Song,’ the group gained a large international following and secured a permanent spot within the Celtic punk scene. The Rumjacks are known for their crowd-pulling performances, emphasizing sing-alongs, high energy, and a powerful live presence. Their shows transform every festival field into an Irish pub: perfect for the sacred grounds of Bospop!",,Yes
The Fatal Flowers,Amsterdam's electric new wave renegades,,,,,Rock/New Wave,Netherlands,"The Fatal Flowers were a Dutch rock band formed in Amsterdam in 1984, known for their blend of rock and new wave influences. They achieved critical acclaim in the Netherlands during the 1980s and are remembered for their energetic live performances and albums like 'Younger Days' and 'Johnny D. Is Back!'",,,,,,The Fatal Flowers combined rock and new wave elements to create a distinctive sound that resonated in the Dutch music scene of the 1980s. Their dynamic live shows and well-received albums established them as a significant band in the Netherlands during their active years.,7,4,Male,No,,https://bospopfestival.nl/artiest/the-fatal-flowers/,"The Fatal Flowers zijn terug!The Fatal Flowers gelden als een van de belangrijkste Nederlandse rockbands van de jaren ’80. Ontstaan in 1984 uit de Amsterdamse punkscene groeide de groep rond Richard Janssen en Henk Jonkers uit tot een toonaangevende gitaarband binnen de zogeheten ‘Amsterdamse School’. Ze bouwden een sterke live reputatie op, stonden ze in 1987 op Pinkpop en ontvingen ze een Edison. ‘Pleasure Ground’(1990) bevestigde hun status als de meest invloedrijke Nederlandse rockband van hun tijd. Hoewel de groep in 1990 uiteenviel, worden hun nummers nog altijd veel geluisterd. Dan kruipt het bloed natuurlijk waar het niet gaan kan, dus zo af en toe steken The Fatal Flowers de koppen weer bij elkaar. En dat gaat nu gebeuren op Bospop!","The Fatal Flowers are back! The Fatal Flowers are considered one of the most important Dutch rock bands of the 1980s. Emerging in 1984 from the Amsterdam punk scene, the group, led by Richard Janssen and Henk Jonkers, grew into a leading guitar band within the so-called 'Amsterdam School.' They built a strong live reputation, performed at Pinkpop in 1987, and received an Edison award. Their album 'Pleasure Ground' (1990) cemented their status as the most influential Dutch rock band of their time. Although the group disbanded in 1990, their songs are still widely listened to. And as the saying goes, old habits die hard, so every now and then, The Fatal Flowers reunite. And now it's happening again at Bospop!",,Yes
Goodbye June,"Southern rock revival, electrified and raw.",,,,,Rock/Blues Rock/Southern Rock,USA,"Goodbye June is a Nashville-based rock band known for their high-energy blend of Southern rock, blues, and hard rock. They have gained recognition for their powerful vocals, gritty guitar riffs, and dynamic live performances, with albums like 'Magic Valley' and 'Community Inn' showcasing their modern take on classic rock influences.",,,,,,"Goodbye June delivers a raw and electrifying sound that fuses Southern rock with blues and hard rock, drawing comparisons to bands like Kings of Leon and Lynyrd Skynyrd. Their music is characterized by soulful vocals, anthemic choruses, and a vibrant stage presence.",8,3,Male,No,,https://bospopfestival.nl/artiest/goodbye-june/,"Goodbye June combineert rauwe hardrockriffs met southern blues en gospel-invloeden, gedreven door de wens tijdloze, levenslustige rockanthems te maken. De drie neven startten de band na het verlies van leadgitarist Tyler’s broer in juni, vastbesloten zijn herinnering te eren. Sinds hun debuut ‘Magic Valley’kreeg de band lovende woorden van het toonaangevende muziekblad Rolling Stone, leverden ze muziek voor grote merken als Budweiser en WWE, en tourden ze met Greta Van Fleet en ZZ Top. Met meer dan 110 miljoen Spotify-streams en plaatsingen bij ESPN, NFL, NHL en games als Need for Speed en Madden, brak Goodbye June definitief door. Hun album ‘See Where the Night Goes’behaalde een #1-positie in de UK Rock Chart, gevolgd door het 2024-album ‘Deep in the Trouble’.","Goodbye June combines raw hard rock riffs with southern blues and gospel influences, driven by the desire to create timeless, spirited rock anthems. The three cousins formed the band after the loss of lead guitarist Tyler's brother in June, determined to honor his memory. Since their debut album 'Magic Valley,' the band has received praise from the renowned music magazine Rolling Stone, provided music for major brands like Budweiser and WWE, and toured with Greta Van Fleet and ZZ Top. With over 110 million Spotify streams and features on ESPN, NFL, NHL, and games like Need for Speed and Madden, Goodbye June has firmly established themselves. Their album 'See Where the Night Goes' reached the #1 spot on the UK Rock Chart, followed by the 2024 album 'Deep in the Trouble.'",,Yes
Grace Bowers,Nashville’s Guitar Heroine in Bloom,,,,,,United States,"[using festival bio due to a lack of publicly available data] Grace Bowers is a young guitarist, songwriter, and bandleader who is rapidly becoming one of the most celebrated new talents. Her debut album, ‘Wine On Venus,’ produced by John Osborne, was praised by outlets such as Forbes and Rolling Stone, which hailed her as “Nashville’s new guitar hero.” Bowers rose to fame when her guitar groove videos went viral during the COVID-19 pandemic, becoming an inspiration for a new generation of female musicians. She has performed at the Grammy Awards, Love Rocks NYC, and on talk shows like Jimmy Kimmel Live! and CBS Mornings, and has toured with the likes of Gary Clark Jr. and Slash. In 2024, she was named Instrumentalist of the Year and made her Grand Ole Opry debut — a rising star in full flight.",,,,,,,,,Female,,,https://bospopfestival.nl/artiest/grace-bowers-hodge-podge/,"Grace Bowers is een piepjonge gitarist, songwriter en bandleider die in razend tempo uitgroeit tot een van de meest gevierde nieuwe talenten. Haar debuutalbum ‘Wine On Venus’, geproduceerd door John Osborne, werd geprezen door onder meer Forbes en Rolling Stone, dat haar uitriep tot “Nashville’s new guitar hero.” Bowers brak door toen haar gitaargroove-video’s tijdens de coronapandemie viraal gingen en groeide uit tot een inspiratie voor een nieuwe generatie vrouwelijke muzikanten. Ze trad op bij de Grammy Awards, Love Rocks NYC en in talkshows als Jimmy Kimmel Live! en CBS Mornings, en tourde met o.a. Gary Clark Jr. en Slash. In 2024 werd ze Instrumentalist of the Year en maakte ze haar Grand Ole Opry-debuut — een nieuwe ster in volle vlucht.","Grace Bowers is a young guitarist, songwriter, and bandleader who is rapidly becoming one of the most celebrated new talents. Her debut album, ‘Wine On Venus,’ produced by John Osborne, was praised by outlets such as Forbes and Rolling Stone, which hailed her as “Nashville’s new guitar hero.” Bowers broke through when her guitar groove videos went viral during the pandemic, becoming an inspiration for a new generation of female musicians. She has performed at the Grammy Awards, Love Rocks NYC, and on talk shows like Jimmy Kimmel Live! and CBS Mornings, and has toured with the likes of Gary Clark Jr. and Slash. In 2024, she was named Instrumentalist of the Year and made her Grand Ole Opry debut — a rising star in full flight.",,Yes
Jesper Lindell,Soulful storyteller with a rock edge,,,,,Soul/Rock,Sweden,"Jesper Lindell is a Swedish singer-songwriter known for his soulful voice and a music style that blends elements of soul, rock, and Americana. He gained recognition with his debut EP 'Little Less Blue' and has been praised for his heartfelt songwriting and captivating live performances.",,,,,,"Jesper Lindell's music combines the emotional depth of soul with the raw energy of rock and Americana, creating a sound that is both timeless and deeply personal. His ability to convey vulnerability and passion through his vocals has earned him critical acclaim.",8,,Male,No,,https://bospopfestival.nl/artiest/jesper-lindell/,"De Zweedse singer-songwriter Jesper Lindell lag op koers om profvoetballer te worden, totdat hij op 13-jarige leeftijd zijn been brak en tijdelijk gebonden was aan zijn slaapkamer en een rolstoel. Bovendien lijdt hij aan een nierziekte, die zijn gezondheid verder in gevaar bracht. In een poging hem op te vrolijken gaf zijn broer hem een akoestische gitaar, een gebaar dat zijn leven voorgoed veranderde. Inmiddels heeft Lindell drie albums op zijn naam staan, waarvan de nieuwste, ‘Before The Sun’uit 2024, zeer lovend werd ontvangen. Hij maakt rootsmuziek met soul, folk en country invloeden, waarin hij met zijn compromisloze visie zingt over de omstandigheden die hij heeft doorstaan.","The Swedish singer-songwriter Jesper Lindell was on track to become a professional football player until, at the age of 13, he broke his leg and was temporarily confined to his bedroom and a wheelchair. Additionally, he suffers from a kidney disease that further endangered his health. In an effort to cheer him up, his brother gave him an acoustic guitar, a gesture that changed his life forever. Lindell has since released three albums, the latest of which, *Before The Sun* (2024), received critical acclaim. He creates roots music with influences of soul, folk, and country, singing with an uncompromising vision about the challenges he has endured.",,Yes
D.K. Harrell,"Ruston’s Blues Soul, Reborn.",,,,,Blues,USA,"D.K. Harrell is a blues guitarist and vocalist from Ruston, Louisiana, known for his mastery of traditional blues styles and his ability to channel the spirit of legends like B.B. King while adding his own modern touch. He has gained recognition for his soulful performances and dedication to preserving the blues tradition.",,,,,,"D.K. Harrell's music is deeply rooted in traditional blues, with a focus on emotive guitar work and heartfelt vocals that pay homage to the genre's pioneers. His ability to blend classic blues influences with his own contemporary flair has earned him praise as a rising star in the blues scene.",8,,Male,Yes,,https://bospopfestival.nl/artiest/d-k-harrell/,"De Amerikaanse blueszanger en -gitarist D.K. Harrell pakte op zijn elfde eerst de mondharmonica op en begon een paar jaar later op gitaar. Hij stortte zich volledig in de muziek van B.B. King. In 2019 scoorde hij zijn eerste betaalde optreden als muzikant op een symposium in het B.B. King-museum, waar hij zelfs op The Kings geliefde Gibson ‘Lucille’-gitaar mocht spelen. Sindsdien stoomde Harrell keihard door. Zijn debuutalbum ‘The Right Man’kreeg in 2023 jubelende recensies en in 2024 werd hij geëerd als Beste Nieuwe Artiest bij de prestigieuze Blues Music Awards. Bij D.K. Harrell is de toekomst van de blues in uitstekende handen.","The American blues singer and guitarist D.K. Harrell first picked up the harmonica at the age of eleven and started playing guitar a few years later. He immersed himself completely in the music of B.B. King. In 2019, he landed his first paid gig as a musician at a symposium at the B.B. King Museum, where he even had the honor of playing on The King's beloved Gibson 'Lucille' guitar. Since then, Harrell has forged ahead with determination. His debut album, *The Right Man*, received rave reviews in 2023, and in 2024 he was honored as Best New Artist at the prestigious Blues Music Awards. With D.K. Harrell, the future of blues is in excellent hands.",,Yes
Dawn Brothers,"Vintage grooves, modern soul revival.",,,,,Rock/Soul,Netherlands,"Dawn Brothers are a Dutch band known for their blend of rock and soul, drawing inspiration from the sounds of the 60s and 70s. Their music combines groovy rhythms, rich harmonies, and a vintage aesthetic, earning them recognition in the European music scene.",,,,,,"Dawn Brothers deliver a nostalgic yet fresh take on classic rock and soul, reminiscent of legendary acts like The Band and Creedence Clearwater Revival. Their dynamic live performances and retro-inspired sound have made them a standout in the modern roots rock revival.",8,4,Male,No,,https://bospopfestival.nl/artiest/dawn-brothers/,"Dawn Brothers is wars van poespas en sinds jaar en dag een band om op te bouwen. Het Rotterdamse viertal live zien is vakmanschap bewonderen – een makelij van folkrock, blues en soul waar je geen speld tussen kunt krijgen. Verwacht geen grootse meezingmomenten of podiumkapriolen. Dawn Brothers is als een puntgaaf meubel, uit pure liefde voor muziek gehouwen. Dat geldt evengoed voor het nieuwe studioalbum ‘Cry Alone’, waarop de heren onverminderd no-nonsense nieuwe technieken aanboren en hun gepeperde americana-sound net wat donkerder doen klinken. Bij Dawn Brothers is er namelijk altijd ruimte voor experiment, en nieuwe thema’s en gevoelens, zowel op plaat als op de planken.","Dawn Brothers is devoid of frills and has long been a band you can rely on. Watching the Rotterdam quartet live is to admire craftsmanship – a creation of folk rock, blues, and soul that leaves no room for doubt. Don’t expect grand sing-along moments or flashy stage antics. Dawn Brothers is like a flawless piece of furniture, crafted out of pure love for music. The same goes for their new studio album ‘Cry Alone,’ where the band continues to explore no-nonsense new techniques and gives their spicy Americana sound a slightly darker edge. With Dawn Brothers, there is always room for experimentation, new themes, and emotions, both on record and on stage.",,Yes
