Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify Link,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Apparitions,"A trio crafting a powerful, experimental wall of droning sound through drums, guitar, and modular synthesis.",,,,,Drone/Experimental,,"[using festival bio due to a lack of publicly available data] The trio of Andrew Dugas, Igor Imbu, and Grant Martin are Apparitions. A holy trinity of drums, guitar, and modular synthesis combine to create the unholy and glorious wall of droning sound that defines the group. Their debut, Eyes Like Predatory Wealth (2022), employed an experimental recording approach – citing composer Witold Lutosławski’s",,https://open.spotify.com/artist/0KuDAC0pPTIASjCxmV8uw7,,,"Apparitions is an experimental trio combining drums, guitar, and modular synthesis to create a powerful, droning sound. Their debut album, 'Eyes Like Predatory Wealth' (2022), showcases innovative recording techniques influenced by composer Witold Lutosławski, emphasizing their avant-garde and boundary-pushing approach to music.",8,3,Mixed,,,https://www.rewirefestival.nl/artist/apparitions,,"The trio of Andrew Dugas, Igor Imbu, and Grant Martin are Apparitions. A holy trinity of drums, guitar, and modular synthesis combine to create the unholy and glorious wall of droning sound that defines the group. Their debut, Eyes Like Predatory Wealth (2022), employed an experimental recording approach – citing composer Witold Lutosławski’s","{""Instagram"": ""https://www.instagram.com/wounds.music/"", ""Bandcamp"": ""https://ensembleapparitions.bandcamp.com/""}",Yes
Ash Fure,"Innovative composer blending acoustic and electronic elements into immersive, multisensory experiences.",,,,,Contemporary Classical/Experimental,USA,"Ash Fure is an American composer and sound artist known for her innovative approach to contemporary classical music, blending acoustic and electronic elements to create immersive, multisensory experiences. Her works often explore the physicality of sound and have been performed by leading ensembles and at major festivals worldwide.",,https://open.spotify.com/artist/2SA9e0XdR3uMhJBsJkoF4p,,,"Ash Fure's compositions push the boundaries of contemporary classical music, integrating experimental soundscapes and tactile sonic experiences. Her work is celebrated for its innovative use of space, texture, and audience engagement, making her a standout figure in modern experimental music.",8,,Female,No,,https://www.rewirefestival.nl/artist/ash-fure,,"Ash Fure's somatic musical practice eschews conventional composition and notation in favour of sculpting and wielding sound in a visceral way. In *Hive Rise* (2020), Fure performed with a rig of speaker cones, manipulating them through kinetic movement. For *Animal* (2025), she returns to this subwoofer assemblage, playing the 12-inch speaker cones with a large sheet of polycarbonate – which acts as a reflective surface that filters sound and light simultaneously. Techno ambience, whirring textures, and rustling patterns build and recede in Fure's frenetic percussive performance. Cyclical rhythms swarm into the listener's ears, burrowing deeper into some subconscious realm, pulsing with an omniscient strangeness. Fure’s unique live approach harnesses wild energy and sweaty athleticism – pouring every bit of herself into the performance. Making “a Feminist push against some of the more disembodied approaches to electronic music,” her frequencies are created to be felt as much as heard: thick, hair-raising sub-bass washes over the audience, enveloping them into a noisy ocean of sound – part club, part avant-garde, and all the way animalistic.","{""Website"": ""https://www.ashleyfure.com/"", ""Bandcamp"": ""https://ashfure.bandcamp.com/""}",Yes
Beverly Glenn-Copeland,Trailblazing artist of transcendent soundscapes,,,,,Folk/Electronic/Jazz,Canada,"Beverly Glenn-Copeland is a Canadian musician and composer known for blending folk, electronic, and jazz elements into deeply emotive and spiritual music. His 1986 album 'Keyboard Fantasies' gained renewed acclaim decades later, establishing him as a pioneer of experimental and ambient music.",,https://open.spotify.com/artist/2bN5hXtWZXEIfnHO34eXfe,,,"Beverly Glenn-Copeland's innovative fusion of folk, electronic, and jazz creates a timeless and meditative sound. His work, particularly the rediscovered 'Keyboard Fantasies,' has been celebrated for its forward-thinking production and emotional depth, influencing a new generation of artists.",9,,Non-binary,Yes,,https://www.rewirefestival.nl/artist/beverly-glenn-copeland,,"Beverly-Glenn Copeland is a person whose music and character has touched and inspired musicians and people across many generations. His foundational album *Keyboard Fantasies* (1986) – written and performed on with a Yamaha DX7, a Roland TR-707, and with Copeland's unique voice – is now considered a groundbreaking release, far ahead of its time. It combined new-age minimalism, early Detroit techno rhythms, and the humble warmth of traditional songwriting into a blooming nursery of new sounds that still sounds fresh, 40 years on. Originally released in a small cassette run, it was considered a near-lost overlooked classic until it found its way into the spotlight through word of mouth, before being reissued in the late 2010s – leading to a re-flourishing of Copeland's musical career, which included reissues of his earlier work, like his debut self-titled album (1970), but also the development of new music which develops further his sound: gentle folk-jazz explorations, compelling gospel harmonies, and West African drumming, all accompanied by his singular voice. His new album *Laughter in Summer* will be released in February 2026, the follow-up to the much adored *The Ones Ahead* (2023). Copeland is joined at Rewire 2026 by his wife and collaborator, Elizabeth Copeland – she is a theatre artist, writer, producer, and arts educator whose work over the past forty-plus years traverses arts and activism.","{""Website"": ""https://beverlyglenncopeland.com/"", ""Instagram"": ""https://www.instagram.com/elspeth_glenn/"", ""Bandcamp"": ""https://beverlyglenn-copeland.bandcamp.com/""}",Yes
Cara Tolmie & Rian Treanor,"Innovative UK-based duo blending electronic music, vocal improvisation, and conceptual art.",,,,,Experimental/Electronic,UK,"Cara Tolmie and Rian Treanor are UK-based experimental artists who collaborate to create immersive performances blending electronic music, vocal improvisation, and conceptual art. Their work often explores the intersection of sound, movement, and space, pushing the boundaries of traditional music performance.",,https://open.spotify.com/artist/5i2pCGdd2OxSf26A5NK655,,,"Cara Tolmie and Rian Treanor craft avant-garde performances that merge abstract electronic soundscapes with vocal experimentation and conceptual art, creating a distinctive and boundary-pushing auditory experience.",8,2,Mixed,No,,https://www.rewirefestival.nl/artist/cara-tolmie--rian-treanor,,"From a series of charged improvisational performances, the duo of Cara Tolmie and Rian Treanor developed their exciting debut album, *Body Lapse* (2025), on label Planet Mu, harnesses the kinetic energy of their live performances into a document of pounding rhythms and vocal intensity. On one side of the collaboration, Treanor's crisp, bassy, and often minimal productions form the bedrock upon which Tolmie, on the other side, builds pillars of sound with her incredible voice – moving between poetic spoken word and bristling exasperated singing, at times recalling the trembling vocal outbursts of early Björk. She speaks and sings stream-of-consciousness incantations through her somatic and self-developed internal singing technique. Treanor plays with her voice, chopping up samples, creating a mimicking effect that weaves magically into the duo's disorienting and surreal music. Flirting with PC music aesthetics and hyper-pop frequencies, the music is at times squeaky and staccato, but there is always a rave-inspired barrage of bass waiting around the corner. Between Treanor's bassy interventions and Tolmie's erupting vocals, there is a sense of push and pull, encapsulated perfectly by the duo's ecstatic and bodily live performances.","{""Instagram"": ""https://www.instagram.com/cara.tolmie/"", ""Website"": ""https://riantreanor.com/"", ""Bandcamp"": ""https://riantreanor.bandcamp.com/""}",Yes
Caterina Barbieri with ONCEIM,Exploring the hypnotic fusion of modular synthesis and orchestral experimentation.,,,,,Electronic/Experimental,Italy,"Caterina Barbieri is an Italian composer and electronic musician known for her minimalist and modular synthesizer compositions. Her collaboration with ONCEIM (Orchestre de Nouvelles Créations, Expérimentations et Improvisation Musicales) explores the intersection of electronic and orchestral music, creating immersive and hypnotic soundscapes.",,https://open.spotify.com/artist/3qTxw2fsgCKEIzt44cfyV6,,,"Caterina Barbieri's work with ONCEIM blends her signature minimalist electronic style with the rich textures of orchestral instrumentation, resulting in a deeply atmospheric and experimental sound. Her innovative approach to modular synthesis and collaboration with avant-garde ensembles has garnered critical acclaim.",8,,Female,No,,https://www.rewirefestival.nl/artist/caterina-barbieri-with-onceim,,"On Rewire 2026's opening evening at Amare, Italian composer and artist Caterina Barbieri will present a new collaboration with ONCEIM – the Orchestra of New Musical Creation, Experimentation, and Improvisation. Barbieri has written a new composition for the orchestra and will perform it with them. Barbieri has long channeled her curiosity into a cosmic mosaic of electronic works touching on themes of memory, time, and perception. Focussing around generative techniques and the creative potential of computation, and using vivid modular synthesis and expanded electro-acoustic formats, Barbieri examines states of trance and altered consciousness. Her approach to music is surely theoretically grounded, yet her manifold compositions and works are also deeply intuitive. She treats her compositions as living organisms which are developed and altered through live performance. Led by artistic and musical director Frédéric Blondy, ONCEIM is an orchestra of over thirty musicians from a variety of musical backgrounds, including improvised music, jazz, classical and contemporary music, and experimental music.","{""Instagram"": ""https://www.instagram.com/onceim_paris/"", ""Website"": ""https://onceim.fr/en/"", ""Bandcamp"": ""https://caterinabarbieri.bandcamp.com/""}",Yes
Einstürzende Neubauten,Pioneers of industrial avant-garde music,,,,,Industrial/Experimental,Germany,"Einstürzende Neubauten is a German band formed in 1980, known for their innovative use of unconventional instruments and industrial sounds to create experimental music. They are considered pioneers of the industrial music genre and have influenced countless artists with their avant-garde approach.",,https://open.spotify.com/artist/7KomCxZv6D5qCVvefwMnwB,,,"Einstürzende Neubauten's groundbreaking use of found objects and industrial noise, combined with poetic lyrics and experimental structures, has cemented their status as one of the most innovative and influential acts in the industrial and experimental music scenes.",9,5,Male,No,,https://www.rewirefestival.nl/artist/einsturzende-neubauten,,"Emerging from the uncanny strangeness of 1980s West Berlin, Einstürzende Neubauten, infamous and legendary arbiters of chaos, scrappily used what was available to them to create their industrialised art rock. Lead by Blixa Bargeld – alongside N.U. Unruh, Jochen Arbeit, and Rudolph Moser – a throughline across Einstürzende Neubauten's decades-spanning career is the use of self-made instruments constructed from steel sheets, construction detritus, and found materials (they famously attempted to drill through the ICA's floor to access the hidden tunnels beneath). 45 years after its release, their debut studio album *Kollaps* (1981) still carries a vivid and new-feeling sensibility. Grinding machinic sounds and industrial percussive battery folds into punk diatribes, eerie ambient noise, and long ritualistic refrains. Their sound has collapsed and been rebuilt into new forms continuously: from the erratic frayed edges of their early industrial material to their more intentional material of the 00s and beyond, Einstürzende Neubauten's current iteration – exclusive to the Netherlands at Rewire – creates a kosmische kind of music that they refer to as ""alien pop music"" – such as with *Alles In Allem* (2020) and *Rampen* (2024).","{""Website"": ""https://neubauten.org/de/"", ""Instagram"": ""https://www.instagram.com/neubautenorg/"", ""Bandcamp"": ""https://neubauten.bandcamp.com/""}",Yes
ex_libris,Innovative electronic artist crafting experimental soundscapes with ambient textures.,,,,,leftfield house,Netherlands,"ex_libris is a solo electronic artist from the Netherlands, known for creating intricate and experimental soundscapes that blend ambient textures with innovative electronic production.",,https://open.spotify.com/artist/54d5CxBriFA92bgAkqpN67,,,1,8,Male,No,No,https://www.rewirefestival.nl/artist/ex_libris,,"ex_libris is the latest project from former The Hague local Dave Huismans, whose releases as 2562 and A Made Up Sound on labels such as Tectonic, Delsin, and The Trilogy Tapes were mainstays of the then-burgeoning dubstep-techno crossover and experimental dance music landscapes. He returned in 2025 with two 12-inch records of deep, textural leftfield house. Across the tracks released so far, the ex_libris sound fizzes with gritty textures, leaning into ambient territory with its pads and tones, yet it is also undeniably club-ready, with low, heavy frequencies that pack a punch. The constantly evolving tracks are propelled forward by thumping bassdrums, tumbling drum samples, and dynamic rhythms that act as throughlines for an uncontrollable overgrowth of organic and acoustic samples, bristling and gnarling with energy and movement. At Rewire 2026, Huismans presents the world premiere live performance of his ex_libris project as a special A/V show in collaboration with graphic and motion designer Bernie van Vlijmen. This live set will feature plenty of new music to be released across 2026.","{""Instagram"": ""https://www.instagram.com/amadeupsound2562/"", ""Bandcamp"": ""https://amadeupsound.bandcamp.com/""}",Yes,
Flur,London-based trio blending macro-minimal spiritual jazz with experimental and contemporary sounds.,,,,,jazz,United Kingdom,"[using festival bio due to a lack of publicly available data] London-based experimental jazz trio Flur was formed by harpist Miriam Adefris, percussionist Dillon Harrison, and Isaac Robertson on saxophone and synthesiser. Their debut album, *Plunge* (2025), released in September with Parisian label Latency – who have released Rewire alumni such as TLF Trio, goat (jp), and Valentina Magaletti. On *Plunge*, Flur delivers a generous glimpse into their world of macro-minimal spiritual jazz, which pays homage to the artists who crystallised this sound – such as Alice Coltrane – while sounding thoroughly contemporary through its bright production and experimental, exploratory approach. Warm thrumming swells of brass, encircling harp arpeggios, and scattered textural drums build Flur's sound. At moments, there is a curious synthesised ambience carpeting Adefris's wandering harp and Harrison's tight drumming that touches on lo-fi motifs – with the song ""Hold Fast Old Kelp"" in particular pulsing with a hip-hop beat under its elemental melodies. Their debut reaches its climactic end with the cinematic and slow-moving ""The Lighthouse,"" which beams Flur's harmonious echoes out like a beacon.",,https://open.spotify.com/artist/44vfrGSSsXFddb8qDq9gxC,,,"Flur is a London-based experimental jazz trio blending macro-minimal spiritual jazz with contemporary production and exploratory soundscapes. Their debut album *Plunge* (2025) showcases influences from Alice Coltrane while incorporating modern elements like lo-fi textures and hip-hop beats. The trio's innovative use of harp, saxophone, synthesiser, and percussion creates a unique, cinematic sound that is both rooted in tradition and forward-thinking.",8,3,Mixed,Yes,,https://www.rewirefestival.nl/artist/flur,,"London-based experimental jazz trio Flur was formed by harpist Miriam Adefris, percussionist Dillon Harrison, and Isaac Robertson on saxophone and synthesiser. Their debut album, *Plunge* (2025), released in September with Parisian label Latency – who have released Rewire alumni such as TLF Trio, goat (jp), and Valentina Magaletti. On *Plunge*, Flur delivers a generous glimpse into their world of macro-minimal spiritual jazz, which pays homage to the artists who crystallised this sound – such as Alice Coltrane – while sounding thoroughly contemporary through its bright production and experimental, exploratory approach. Warm thrumming swells of brass, encircling harp arpeggios, and scattered textural drums build Flur's sound. At moments, there is a curious synthesised ambience carpeting Adefris's wandering harp and Harrison's tight drumming that touches on lo-fi motifs – with the song ""Hold Fast Old Kelp"" in particular pulsing with a hip-hop beat under its elemental melodies. Their debut reaches its climactic end with the cinematic and slow-moving ""The Lighthouse,"" which beams Flur's harmonious echoes out like a beacon.","{""Instagram"": ""https://www.instagram.com/miriamadefris/"", ""Bandcamp"": ""https://flurflur.bandcamp.com/""}",Yes
ganavya,"Innovative vocalist and composer blending jazz, Indian classical music, and folk traditions.",,,,,Jazz/Indian Classical/Folk,India,"Ganavya is a vocalist and composer whose work blends jazz, Indian classical music, and folk traditions. She is known for her innovative interpretations and collaborations across diverse musical genres.",,https://open.spotify.com/artist/1NXSMPrdftOB0I4LeSkwjz,,,"Ganavya's music seamlessly fuses jazz improvisation with the rich textures of Indian classical and folk traditions, creating a deeply emotive and genre-defying sound. Her work is marked by a profound sense of cultural synthesis and artistic exploration.",8,,Female,Yes,,https://www.rewirefestival.nl/artist/ganavya,,"Ganavya is a vocalist and composer whose transcendent and fluent music brings the Hindu storytelling tradition of harikatha into the twenty-first century. 2024's Daughter of a Temple, released on Leiter, offered a deeply moving blend of spiritual jazz and South Asian devotional music. It was quickly followed up by 2025's Nilam, where, again, Ganavya's sincere vocals lead listeners into a warm world of song where jazz, traditional, and folk instruments concatenate and murmur together softly. Her words, sung with incredible mastery, are so subtle and sensitive yet so clearly powerful and complex. Her music is controlled and wistful, never veering off the rails or fraying too far from its path – yet the path it walks is entirely its own. Inspired by what she terms the ""musico-philosophies"" of Alice Coltrane, Ganavya's fusion music is spiritual and contemplative, offering listeners a slow, meditative experience much needed in these times of utter acceleration.","{""Instagram"": ""https://www.instagram.com/ganavya/"", ""Website"": ""https://www.ganavya.com/"", ""Bandcamp"": ""https://ganavya.bandcamp.com/""}",Yes
Hayden Pedigo,"Intricate fingerstyle guitar meets ambient folk, inspired by American Primitive traditions.",,,,,Ambient/Folk,USA,"Hayden Pedigo is a Texas-based musician and composer known for his intricate fingerstyle guitar playing and ambient folk compositions, drawing inspiration from American Primitive guitarists like John Fahey.",,https://open.spotify.com/artist/4OR0gbDLGgJ4fxoXB0ZCYZ,,,"Hayden Pedigo blends the intricate techniques of American Primitive guitar with ambient textures, creating a meditative and evocative soundscape that bridges traditional folk and experimental music.",8,,Male,No,,https://www.rewirefestival.nl/artist/hayden-pedigo-with-string-quartet,,"Hayden Pedigo is a fresh link in the timeworn chain of post-blues instrumental solo fingerstyle guitarists. Homeschooled in ""the middle of nowhere,"" as an artist, he seeks an authentic and genuine connection with his audience, welcoming them into the fractures in linear time that his pieces create. Pedigo says of his music that it's in the long pauses, silences, and breaks that he pays tribute to the flat plains of his Texan hometown, Amarillo. ""There's a sadness in the sound of Amarillo,"" says Pedigo, but his music wafts between joy and sorrow, with him as wordless storyteller, appearing somewhere on the continuum near the sad clowns and the joyful funeral directors. *I'll Be Waving As You Drive Away* (2025) is the third record in his ""Motor Trilogy"" of records with label Mexican Summer – referred to as such due to their transient character and the vehicle motifs emblazoning their colourful, abstract covers. The colourful abstraction of Pedigo is not limited to his choice of album art; it seeps out into both his personality and the warm, blissful, strange music he creates. He performs twice at Rewire 2026, both solo, and with a string quartet.","{""Instagram"": ""https://www.instagram.com/amarillohighway/"", ""Website"": ""https://haydenpedigo.com/"", ""Bandcamp"": ""https://haydenpedigo.bandcamp.com/""}",Yes
Jim O’Rourke & Eiko Ishibashi,"Innovative duo blending jazz, electronic, and ambient music with intricate textures and atmosphere.",,,,,Experimental/Avant-garde,Japan/USA,"Jim O’Rourke and Eiko Ishibashi are a collaborative duo known for their experimental and avant-garde music, blending elements of jazz, electronic, and ambient styles. Their work often features intricate arrangements and a focus on texture and atmosphere, showcasing their individual talents and shared artistic vision.",,https://open.spotify.com/artist/46urSPEzIrRVqKqciwOq2f,,,"The duo's music is a compelling fusion of experimental soundscapes, drawing from jazz, electronic, and ambient influences. Their collaborative projects highlight a deep commitment to sonic exploration and innovative composition, making them a standout in the avant-garde music scene.",8,2,Mixed,Yes,,https://www.rewirefestival.nl/artist/jim-orourke--eiko-ishibashi,,"Jim O’Rourke and Eiko Ishibashi are two experimental artists that need little introduction. Ishibashi, who performed a spellbinding set at last year's festival, is a renowned artist and composer whose latest album *Antigone* (2025) followed beloved soundtracks to Oscar-winning film *Drive My Car* (2021) and *Evil Does Not Exist* (2023). O'Rourke is a stalwart of Chicago's improv scene, a prolific composer for film, and a former member of Gastr del Sol and Sonic Youth. *Pareidolia* (2025) is their fifth release as a duo; this gorgeous album of deconstructed orchestral sounds, glitchy electronics, and warm fuzz serves as a montage of improvisations and performances captured live. The sounds wander freely yet remain rooted in some kind of effervescent intention – like two bonfire sparks dancing in the wind, or two fireflies led by each other's flickering brightness. In Ishibashi and O’Rourke's music one can hear a deep sense of conversation, interplay, and, arguably, affection. Meditative yet never sleepy, comforting yet never predictable, *Pareidolia* stands as a wonderful document of what the duo are capable of creating when their sparkling electronics, atmospheric strings, glimmering textures, and fortuitous flutes combine.","{""Instagram"": ""https://www.instagram.com/eikoishibashi/"", ""Website"": ""https://eikoishibashi.net/"", ""Bandcamp"": ""https://eikoishibashi.bandcamp.com/""}",Yes
Joanne Robertson & Oliver Coates,"A painter and musician blending folky guitar and voice with emotive, lullabic qualities and warm reverberations.",,,,,Folk/Experimental,UK,"[using festival bio due to a lack of publicly available data] Painter and musician Joanne Robertson creates reverberating worlds of rippling halcyon sounds. Her output often stems from collaborations between friends – most recently with Elias Rønnenfelt on Heavy Glory (2024), Sidsel Meineche Hansen on Alien Baby (2021), and with her long-time collaborator Dean Blunt on Backstage Raver (2024). For Blurrr (2025), her critically acclaimed latest album on AD 93, Robertson collaborated with cellist, composer, and producer Oliver Coates, who joins her for a special performance at Rewire 2026 in the blissful Lutherse Kerk to perform the album's songs. Blurrr was written between painting sessions and while raising a child, which can be heard in the emotive, serene, and lullabic quality of the album. Basked in warm reverberations, Robertson's music for guitar and voice is at once folky and honest while holding depth and complication beyond its surface. Like an abstract painting, its seeming simplicity holds many secrets that only unfold with careful attention and willingness to enter its intuitive world head-on.",,https://open.spotify.com/artist/4MdQ9btIlh6rzIMA19tu3L,,,"Joanne Robertson's collaboration with Oliver Coates on the album Blurrr (2025) blends her folky, emotive guitar and voice with Coates' expertise as a cellist and producer, creating a serene and atmospheric sound. The music is characterized by its introspective, lullabic quality and warm reverberations, offering a layered and intuitive listening experience. Their work has been critically acclaimed for its depth and emotional resonance.",8,2,Female,No,,https://www.rewirefestival.nl/artist/joanne-robertson--oliver-coates,,"Painter and musician Joanne Robertson creates reverberating worlds of rippling halcyon sounds. Her output often stems from collaborations between friends – most recently with Elias Rønnenfelt on Heavy Glory (2024), Sidsel Meineche Hansen on Alien Baby (2021), and with her long-time collaborator Dean Blunt on Backstage Raver (2024). For Blurrr (2025), her critically acclaimed latest album on AD 93, Robertson collaborated with cellist, composer, and producer Oliver Coates, who joins her for a special performance at Rewire 2026 in the blissful Lutherse Kerk to perform the album's songs. Blurrr was written between painting sessions and while raising a child, which can be heard in the emotive, serene, and lullabic quality of the album. Basked in warm reverberations, Robertson's music for guitar and voice is at once folky and honest while holding depth and complication beyond its surface. Like an abstract painting, its seeming simplicity holds many secrets that only unfold with careful attention and willingness to enter its intuitive world head-on.","{""Instagram"": ""https://www.instagram.com/ollycoates/"", ""Website"": ""https://olivercoates.com/"", ""Bandcamp"": ""https://joannerobertson.bandcamp.com/""}",Yes
Juana Molina,Innovative pioneer of experimental folk,,,,,Folktronica/Experimental,Argentina,"Juana Molina is an Argentine singer-songwriter and producer known for her unique blend of folk, electronic, and experimental music. Her critically acclaimed albums, such as 'Wed 21' and 'Halo,' showcase her innovative use of looping, layered vocals, and intricate soundscapes.",,https://open.spotify.com/artist/76hliHkgP5eIbVqLT7NmQ3,,,"Juana Molina's music is a captivating fusion of traditional folk elements and experimental electronic textures, characterized by her use of looping and ethereal vocals. Her work has been praised for its originality and boundary-pushing approach, making her a standout figure in modern experimental music.",8,,Female,Yes,,https://www.rewirefestival.nl/artist/juana-molina-2026,,"A fluffy white dog with a human head sits obediently, spotlit against a mysterious dark backdrop of silhouetted trees: this is the cover image for actress, composer, songwriter, producer, and cult performer Juana Molina's DOGA (2025) – the eighth full-length of her prolific career and her first album of new compositions in eight years, following Halo (2017). This artwork, which depicts a dog with Molina's face, hints at some of the mercurial elements swirling in her practice: aesthetically unique, tongue-in-cheek, and uncannily strange yet warmly familiar. Her music springs forth with sonic curiosities that sound at the same time like esoteric J-pop of the 1990s, South American folk music of the 1970s, and alien pop music from the 2080s. At this sprightly meeting point between past and future, Molina's music flourishes into being as something truly new – one-of-a-kind art pop driven by rhythmic synths and infectious, glitched-out guitars. The lo-fidelity spirit of her music is offset by the pristine clarity of her voice, which reigns above the intricate instrumentation of her otherworldly songs.","{""Instagram"": ""https://www.instagram.com/soyjuanamolina/"", ""Website"": ""https://www.juanamolina.com/"", ""Bandcamp"": ""https://juanamolina.bandcamp.com/""}",Yes
KAVARI,A Glasgow-based DJ and producer reshaping club music with a thrilling blend of horror-infused darkness and high-energy experimental beats.,,,,,Experimental Club/Industrial/Jungle,United Kingdom,"[using festival bio due to a lack of publicly available data] KAVARI is a Glasgow-based DJ and producer whose thrilling contradiction of unconventional club sounds has cemented her as a key figure in the UK underground. On one end of the spectrum, there is the horror-infused darkness of a release like Rumination at the Abattoir (2025), where haunting field recordings and abstract, harsh electronics enmesh; on the other end, with releases like Suture (2022) and her Lost Cuts edit series, chopped and screwed jungle beats and ethereal pads billow while high energy percussion pumps beneath nightcore vocals and fragmented breaks. The kind of industrial beats that KAVARI produces are not deconstructed per se, but rather reassembled like a Frankenstein's monster of different parts that should not yet do fit together, creating new monstrous life. With influences as wide as Genesis P-Orridge and Skrillex, the range of sounds heard across her music starts to make sense. Hers is not humourless experimental club music; it holds an exaggerated vitality that borders on camp; it spills out of its borders and hopes you might slip on the residue it leaves in its wake. She presents a live A/V show at Rewire 2026.",,https://open.spotify.com/artist/2pvfGvbL4mouaDY9ZSwUmv,,,"KAVARI's music is a bold fusion of unconventional club sounds, blending horror-infused industrial darkness with chopped and screwed jungle beats, ethereal pads, and high-energy percussion. Her work is characterized by a Frankenstein-like assembly of disparate elements, creating a unique and experimental sound that is both haunting and vibrant. With influences ranging from Genesis P-Orridge to Skrillex, her music defies genre boundaries and embraces a playful, almost camp vitality.",8,1,Female,No,,https://www.rewirefestival.nl/artist/kavari,,"KAVARI is a Glasgow-based DJ and producer whose thrilling contradiction of unconventional club sounds has cemented her as a key figure in the UK underground. On one end of the spectrum, there is the horror-infused darkness of a release like Rumination at the Abattoir (2025), where haunting field recordings and abstract, harsh electronics enmesh; on the other end, with releases like Suture (2022) and her Lost Cuts edit series, chopped and screwed jungle beats and ethereal pads billow while high energy percussion pumps beneath nightcore vocals and fragmented breaks. The kind of industrial beats that KAVARI produces are not deconstructed per se, but rather reassembled like a Frankenstein's monster of different parts that should not yet do fit together, creating new monstrous life. With influences as wide as Genesis P-Orridge and Skrillex, the range of sounds heard across her music starts to make sense. Hers is not humourless experimental club music; it holds an exaggerated vitality that borders on camp; it spills out of its borders and hopes you might slip on the residue it leaves in its wake. She presents a live A/V show at Rewire 2026.","{""Instagram"": ""https://www.instagram.com/kavarikavarikavari/"", ""Bandcamp"": ""https://kavarimusic.bandcamp.com/""}",Yes
La Rat,"Experimental hip hop duo blending pitch-shifted vocals, Madlib-esque beats, and esoteric humor.",,,,,experimental hip hop,Netherlands,"[using festival bio due to a lack of publicly available data] Multi-instrumentalist and vocalist Goya van der Heijden – of Devon Rexi – and DJ and producer Tobias Jansen – aka TBZ – are La Rat: an experimental hip hop duo whose eponymous LP on South of North sprung up out of the gutter in 2025. With pitch-shifted vocals accompanied by Madlib-esque beats, they take well-loved hip hop sounds and drench them in the murky strange canals of Danksterdam. The duo cite influences as far apart as bizarro turntablist noise-makers MC Hellshit & DJ Carhouse are to deep-listening composer Pauline Oliveros. This mashing of high and low art carries into their ethos; they've created something special and sonically intricate which manages to not take itself too seriously. There's humour leaking out of every corner of La Rat (2025), leaving a trail back to the nest they scurried out of. La Rat aren't only rodent scavengers of soulful crunchy samples but of chunky lyrics too, whose dribbling verses are assembled artfully into an esoteric trash-tableaux.",,,,,"La Rat is an experimental hip hop duo blending pitch-shifted vocals and Madlib-inspired beats with avant-garde influences. Their sound combines soulful, crunchy samples with artfully assembled lyrics, creating a unique and humorous sonic experience rooted in both high and low art traditions.",8,2,Mixed,No,,https://www.rewirefestival.nl/artist/la-rat,,"Multi-instrumentalist and vocalist Goya van der Heijden – of Devon Rexi – and DJ and producer Tobias Jansen – aka TBZ – are La Rat: an experimental hip hop duo whose eponymous LP on South of North sprung up out of the gutter in 2025. With pitch-shifted vocals accompanied by Madlib-esque beats, they take well-loved hip hop sounds and drench them in the murky strange canals of Danksterdam. The duo cite influences as far apart as bizarro turntablist noise-makers MC Hellshit & DJ Carhouse are to deep-listening composer Pauline Oliveros. This mashing of high and low art carries into their ethos; they've created something special and sonically intricate which manages to not take itself too seriously. There's humour leaking out of every corner of La Rat (2025), leaving a trail back to the nest they scurried out of. La Rat aren't only rodent scavengers of soulful crunchy samples but of chunky lyrics too, whose dribbling verses are assembled artfully into an esoteric trash-tableaux.","{""Instagram"": ""https://www.instagram.com/tttttbbbbbzzzzz/"", ""Bandcamp"": ""https://larat.bandcamp.com/""}",Yes
