Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Pixel Grip,,,,,,Synthpop/Darkwave,USA,"Pixel Grip is a Chicago-based trio known for their dark, pulsating synthpop and electronic soundscapes, blending elements of industrial, goth, and house music. Their music often explores themes of identity, queerness, and empowerment, earning them a dedicated following in the underground electronic scene.",,https://open.spotify.com/artist/4NmxBuCBL7Y5nqxDawpYKW,,,"Pixel Grip combines brooding darkwave textures with infectious synthpop hooks, creating a sound that is both danceable and emotionally resonant. Their exploration of queer themes and bold, theatrical performances have positioned them as a standout act in the modern electronic music landscape.",8,3,Non-binary,No,,https://www.grauzonefestival.nl/pixel-grip,,"Chicago-based electronic trio Pixel Grip have been making waves since 2019 with their multifaceted, high-voltage synth sound — a visceral blend of darkwave, pop, and industrial grit. Fronted by Rita Lukea with Jonathon Freund on synths and Tyler Ommen on drums, the group has built a cult following for their seductive, avant-garde aesthetic and electrifying live shows.",,No
Kompromat,,,,,,Electronic/Techno,France,"Kompromat is a French electronic music duo formed by Vitalic and Rebeka Warrior, blending industrial techno with darkwave and EBM influences. Known for their intense live performances and politically charged lyrics, they have gained recognition for their unique sound and bold artistic vision.",,https://open.spotify.com/artist/1QYA7hFYKc0EuhE2MGpjH7,,,"Kompromat's fusion of industrial techno, darkwave, and EBM creates a raw, pulsating soundscape. Their politically infused lyrics and high-energy performances have positioned them as a standout act in the electronic music scene.",8,2,Mixed,No,,https://www.grauzonefestival.nl/kompromat,,"Kompromat is the electrifying collaboration between Vitalic and queer iconRebeka Warrior, who also runs the fierce and boundary-pushingWarrior Records. With their latest releasePLДYING / PRДYING(2024) out now on Warrior Records — also home to Minuit Machine and Cate Hortl — the duo fuses EBM, cold wave, and radical techno into an ecstatic ritual of sound. The duo revels in blurring boundaries. While German lyrics accompanied their first album, their new narratves will be channeled in English. Known for their intense performances and sonic storytelling, we’re proud to welcome Kompromat to Grauzone 2026 as they bring their new record to life.Date: tbcLocation: Tbc",,No
Stella Rose,,,,,,dark pop,United States,"[using festival bio due to a lack of publicly available data] Emerging from New York’s underground with a striking artistic vision,Stella Rosehas quickly become one of the most captivating new voices in dark pop. Daughter of Depeche Mode frontmanDave Gahan, Stella has carved her own unique path—merging brooding guitars, visceral lyricism, and haunting vocals into music that feels both poetic and raw, drawing inspiration from icons such as Patti Smith, PJ Harvey, Nick Cave, and David Bowie.",,,,,,,1,female,,,https://www.grauzonefestival.nl/stella-rose,,"Emerging from New York’s underground with a striking artistic vision,Stella Rosehas quickly become one of the most captivating new voices in dark pop. Daughter of Depeche Mode frontmanDave Gahan, Stella has carved her own unique path—merging brooding guitars, visceral lyricism, and haunting vocals into music that feels both poetic and raw, drawing inspiration from icons such as Patti Smith, PJ Harvey, Nick Cave, and David Bowie.",,No
DJ Jen Cardini,,,,,,Electronic/House/Techno,France,"DJ Jen Cardini is a French electronic music artist known for her eclectic blend of house, techno, and disco. She has gained international recognition for her dynamic DJ sets and her work as the founder of the record labels Correspondant and Dischi Autunno.",,,,,"Jen Cardini's ability to seamlessly fuse house, techno, and disco with a sophisticated and eclectic approach has made her a standout figure in the electronic music scene. Her work as a label founder further showcases her dedication to fostering innovative sounds and emerging talent.",8,,Female,No,,https://www.grauzonefestival.nl/jen-cardini,,"One of the most prominent and respected artists to emerge from the French electronic music scene, Jennifer Cardini has become a cornerstone of European club culture. Although best known for sounds that sit somewhere between seductive house, dark italo, and coldwave, Cardini effortlessly moves between sleek techno, sexy EBM, and moments of hands-in-the-air rave euphoria.",,No
Pissoir Des Dieux,,,,,,,,"[using festival bio due to a lack of publicly available data] From the very beginning, Larissa Iceglass has been a beloved part of the Grauzone family. As one half of the iconic duoLebanon Hanover, she has performed at Grauzone several times.This time, however, she returns with something entirely new,  and we’re super proud to host the live premiere of her latest project at Grauzone 2026.",,,,,,,1,female,,,https://www.grauzonefestival.nl/pissoir-des-dieux,,"From the very beginning, Larissa Iceglass has been a beloved part of the Grauzone family. As one half of the iconic duoLebanon Hanover, she has performed at Grauzone several times.This time, however, she returns with something entirely new,  and we’re super proud to host the live premiere of her latest project at Grauzone 2026.",,No
Sydney Valette,,,,,,Synthwave/Darkwave,France,"Sydney Valette is a French electronic music artist known for his blend of synthwave, darkwave, and post-punk influences. His music combines retro synthesizer sounds with modern electronic production, creating a moody and atmospheric style.",,https://open.spotify.com/artist/2KJAUWVNVVze4aPbJdDS4I,,,"Sydney Valette's music is a compelling mix of retro synthwave and darkwave, characterized by brooding atmospheres and pulsating electronic beats. His ability to merge nostalgic 80s-inspired sounds with contemporary production has earned him a dedicated following in the underground electronic scene.",8,,Male,No,,https://www.grauzonefestival.nl/sydney-valette,,"Paris-basedSydney Valettefuses EBM, ambient, goth wave, Italo-Disco, synth-punk and more. While influenced by sounds of the past, his music sounds fresh and unique.",,No
Body Maintanence,,,,,,,,,,,,,,,,,,,https://www.grauzonefestival.nl/body-maintanence,,,,No
Nation Unrest,,,,,,EBM,United Kingdom,"[using festival bio due to a lack of publicly available data] Nation Unrestis a London-based EBM duo that channels the physical urgency of early electronic body music through the raw, uncompromising spirit of UK punk. Formed byCal Graham(vocalist of street-punk actThe Chisel,who will perform during Grauzone!) andJoshua Smith(Chain of Flowers), the project strips their sound to its core: hard rhythm electronics driven by analog gear, militant percussion, and dystopian intent.",,,,,,,2,,,,https://www.grauzonefestival.nl/nation-unrest,,"Nation Unrestis a London-based EBM duo that channels the physical urgency of early electronic body music through the raw, uncompromising spirit of UK punk. Formed byCal Graham(vocalist of street-punk actThe Chisel,who will perform during Grauzone!) andJoshua Smith(Chain of Flowers), the project strips their sound to its core: hard rhythm electronics driven by analog gear, militant percussion, and dystopian intent.",,No
Uitzendbureau,,,,,,hardcore punk,Netherlands,"[using festival bio due to a lack of publicly available data] Amsterdam new hardcore punksUitzendbureau(in english:Employment agency)hit hard – relentless in both sound and message. Loud, chaotic, and uncompromising, they deliver an explosion of raw energy and unfiltered noise: raging against the police, dystopia, and the established order. It’s brutal, it’s messy, and it’s unforgettable.",,,,,,,,,,,https://www.grauzonefestival.nl/uitzendbureau,,"Amsterdam new hardcore punksUitzendbureau(in english:Employment agency)hit hard – relentless in both sound and message. Loud, chaotic, and uncompromising, they deliver an explosion of raw energy and unfiltered noise: raging against the police, dystopia, and the established order. It’s brutal, it’s messy, and it’s unforgettable.",,No
Safe Mind,,,,,,,,"[using festival bio due to a lack of publicly available data] Safe Mind is the brand new collaboration betweenAugustus Muller(Boy Harsher) andCooper B. Handy(aka LUCY). Their debut album Cutting The Stone was released on July 25, 2025 through Nude Club Records, Boy Harsher’s own imprint, and has quickly established the duo as one of the label’s most exciting new acts.Cooper B. Handy is no stranger to the Boy Harsher universe — he provided the distinctive vocals on their track Automatic, a fan favorite that highlighted the chemistry between his voice and Muller’s production. With Safe Mind, that synergy now takes center stage.",,,,,,,2,he,,,https://www.grauzonefestival.nl/safe-mind,,"Safe Mind is the brand new collaboration betweenAugustus Muller(Boy Harsher) andCooper B. Handy(aka LUCY). Their debut album Cutting The Stone was released on July 25, 2025 through Nude Club Records, Boy Harsher’s own imprint, and has quickly established the duo as one of the label’s most exciting new acts.Cooper B. Handy is no stranger to the Boy Harsher universe — he provided the distinctive vocals on their track Automatic, a fan favorite that highlighted the chemistry between his voice and Muller’s production. With Safe Mind, that synergy now takes center stage.",,No
Home Front,,,,,,Post-punk/New Wave,Canada,"Home Front is a Canadian band that blends post-punk and new wave influences, creating a sound reminiscent of 1980s synth-driven rock with a modern edge. Their music is characterized by driving rhythms, melodic synth lines, and anthemic vocals.",,https://open.spotify.com/artist/0CyB1ZUexbBDoyHb15UJrU,,,"Home Front's music captures the energy of 1980s post-punk and new wave, combining nostalgic synth-driven melodies with a fresh, contemporary approach. Their sound is both energetic and atmospheric, appealing to fans of retro-inspired yet forward-thinking music.",8,5,Male,No,,https://www.grauzonefestival.nl/homefront,,Canadian band Home Front fuse Oi! punk energy with 80s synth pop melancholia to create their own fresh take on shoegaze – or rather:Boot Gaze.,,No
Mint Field,,,,,,Shoegaze/Psychedelic Rock,Mexico,"Mint Field is a Mexican band known for their dreamy blend of shoegaze, psychedelic rock, and post-rock elements. Formed in Tijuana, their music features lush, atmospheric soundscapes and introspective lyrics, earning them recognition in the global indie music scene.",,https://open.spotify.com/artist/3okJi6oq87Mwx0VzywmMgz,,,"Mint Field's music is characterized by ethereal vocals, reverb-drenched guitars, and a hypnotic fusion of shoegaze and psychedelic rock, drawing comparisons to bands like Slowdive and My Bloody Valentine. Their ability to create immersive sonic textures has garnered critical acclaim and a dedicated following.",8,2,Female,Yes,,https://www.grauzonefestival.nl/mint-field,,"Mint Fieldbrings their lush, shoegaze-infused psych rock from Mexico to Grauzone for the very first time and it’s about time! Hailing from Tijuana and now based in Mexico City, the band led byEstrella del Sol Sánchezhas carved out a unique space within the global underground scene. Their dreamy, immersive sound draws onshoegaze,krautrock,post-rock, andpsychedelictextures, combining ethereal vocals, intricate guitar work, and deep emotional resonance.",,No
Whitelands,,,,,,Shoegaze/Dream Pop,UK,"Whitelands is a London-based band blending shoegaze and dream pop with introspective lyrics and lush, atmospheric soundscapes. They have gained attention for their emotive songwriting and ethereal melodies, creating a unique and immersive listening experience.",,,,,"Whitelands crafts a captivating fusion of shoegaze and dream pop, marked by hazy guitar textures, heartfelt lyrics, and a melancholic yet uplifting atmosphere. Their ability to evoke deep emotions through layered instrumentation and poignant themes has garnered them a growing following in the alternative music scene.",8,3,Mixed,Yes,,https://www.grauzonefestival.nl/whitelands,,"Whitelands are a four-piece London-based Black British shoegaze and dreampop band, standing at the forefront of a new generation of Black British guitar music alongside Big Joanie and Bob Vylan. Their acclaimed debutNight-Bound Eyes Are Blind to the Daywas released on February 23, 2024 via Sonic Cathedral (Bdrmm, Horsegirl), during their UK tour supporting shoegaze icons Slowdive. In June 2024, NME hailed it as one of the best debut albums of the year so far, leading to widespread radio support, including playlists on BBC Radio 6 Music.",,No
DJ I-F,,,,,,Electro/Italo Disco,Netherlands,"DJ I-F, also known as Ferenc van der Sluijs, is a Dutch electronic music producer and DJ renowned for his pioneering work in the electro and Italo disco genres. He gained prominence in the 1990s with his influential track 'Space Invaders Are Smoking Grass' and is also known for founding the influential internet radio station Intergalactic FM.",,,,,"DJ I-F is celebrated for his groundbreaking contributions to electro and Italo disco, blending retro-futuristic sounds with innovative production. His work, particularly the cult classic 'Space Invaders Are Smoking Grass,' has had a lasting impact on electronic music, and his role in establishing Intergalactic FM has cemented his status as a tastemaker in underground electronic scenes.",8,,Male,No,,https://www.grauzonefestival.nl/i-f,,"Finally—I-Fat Grauzone, right here in The Hague, the city that has been both his home and the base for his legendary Intergalactic FM radio station. A cornerstone of electronic music, I-F has shaped generations of DJs and listeners since the early 1990s, with a legacy that spans from pirate radio to cult record labels Viewlexx and Murdercapital.",,No
Dj’S: Neu Romancer & Radondo,,,,,,"Italo disco, EBM",Germany,"[using festival bio due to a lack of publicly available data] Neu Romancer is no stranger to Grauzone. The Berlin-based producer previously performed synths live for Zanias and has since launched her own solo project, with releases on the renowned Fleisch Records label. Known for her sultry DJ sets blendingItalo disco,EBM, and hypnotic, dancefloor-ready beats, she brings a distinct energy that never fails to move a crowd.",,,,,,,1,she,,,https://www.grauzonefestival.nl/neu-romancer-radondo,,"Neu Romancer is no stranger to Grauzone. The Berlin-based producer previously performed synths live for Zanias and has since launched her own solo project, with releases on the renowned Fleisch Records label. Known for her sultry DJ sets blendingItalo disco,EBM, and hypnotic, dancefloor-ready beats, she brings a distinct energy that never fails to move a crowd.",,No
Sad Madona,,,,,,electro/synth,France,"[using festival bio due to a lack of publicly available data] Sad Madona is a solo electro/synth project from Paris that blends elements of gothic, techno, and shoegaze into what creator Rémi Lauvergne describes as “dramatic dance.” The music was already picked up by techno icon Ellen Allien, who has praised Sad Madona’s sound — and previously performed at Grauzone herself and made a remix of the song Witch Coast.",,,,,,,1,,,,https://www.grauzonefestival.nl/sad-madona,,"Sad Madona is a solo electro/synth project from Paris that blends elements of gothic, techno, and shoegaze into what creator Rémi Lauvergne describes as “dramatic dance.” The music was already picked up by techno icon Ellen Allien, who has praised Sad Madona’s sound — and previously performed at Grauzone herself and made a remix of the song Witch Coast.",,No
Grote Geelstaart,,,,,,noise-rock,Netherlands,"[using festival bio due to a lack of publicly available data] Grote Geelstaart is one of the Netherlands’ most exciting new noise-rock acts, known for their wild genre-switching, explosive energy, and theatrical stage presence. Their live shows feel like being strapped into a runaway car: two drummers push the tempo to its limits, the bass locks into hypnotic drones, and the vocals oscillate between shouts, screams, whispers, and unhinged proclamations.",,,,,,,,,,,https://www.grauzonefestival.nl/grote-geelstaart,,"Grote Geelstaart is one of the Netherlands’ most exciting new noise-rock acts, known for their wild genre-switching, explosive energy, and theatrical stage presence. Their live shows feel like being strapped into a runaway car: two drummers push the tempo to its limits, the bass locks into hypnotic drones, and the vocals oscillate between shouts, screams, whispers, and unhinged proclamations.",,No
The Etters,,,,,,garage-punk,Netherlands,"[using festival bio due to a lack of publicly available data] The Etters began as a chaotic idea born from a midlife crisis—and quickly evolved into one of the most unmistakably fun garage-punk acts in the Netherlands. When vocalistJerry(former singer of The Jerry Hormone Ego Trip) hit a crisis point at 42, his counselor offered two options: buy a Harley-Davidson, or start a loud band with two younger punk musicians. Broke but motivated, he chose the latter, teaming up withLuna(bass) andKate Oram (Chattermag)(drums) to form The Etters.",,,,,,,3,he,,,https://www.grauzonefestival.nl/the-etters,,"The Etters began as a chaotic idea born from a midlife crisis—and quickly evolved into one of the most unmistakably fun garage-punk acts in the Netherlands. When vocalistJerry(former singer of The Jerry Hormone Ego Trip) hit a crisis point at 42, his counselor offered two options: buy a Harley-Davidson, or start a loud band with two younger punk musicians. Broke but motivated, he chose the latter, teaming up withLuna(bass) andKate Oram (Chattermag)(drums) to form The Etters.",,No
Warmduscher,,,,,,Post-punk/Alternative Rock/Funk,UK,"Warmduscher is a London-based band known for their eclectic mix of post-punk, funk, and alternative rock, blending gritty, raw energy with a playful and experimental approach. They have gained a reputation for their electrifying live performances and unique sound that draws from diverse influences.",,,,,"Warmduscher's music is a chaotic yet infectious fusion of post-punk, funk, and alternative rock, characterized by gritty vocals, groovy basslines, and a tongue-in-cheek attitude. Their live shows are celebrated for their high energy and unpredictable, boundary-pushing performances.",8,5,Male,No,,https://www.grauzonefestival.nl/warmduscher,,"London’s own mischief-makers Warmduscher return with their fifth albumToo Cold To Hold, and it’s their boldest yet. Where many bands settle into formula by album five, Warmduscher explode in every direction—pulling in the hypnotic grooves of South African gqom, touches of hip hop, disco-punk chaos, and even jazz. The result is a glorious mess of rhythm and attitude, a 12-legged groove machine powered by Clams Baker Jr., Benjamin Romans Hopcraft, Adam J. Harmer, Marley Mackey, Quinn Whalley, and Bleu Ottis Wright.",,No
Potochkine,,,,,,Electronic/Darkwave,France,"Potochkine is a French electronic duo blending darkwave, synthpop, and industrial sounds with poetic and theatrical performances. Known for their intense live shows, they create a unique fusion of haunting melodies and pulsating rhythms.",,https://open.spotify.com/artist/4g6krvxWpV8Uy11mt1hJnp,,,"Potochkine's music is a compelling mix of darkwave and industrial influences, characterized by atmospheric synths, driving beats, and a dramatic, avant-garde stage presence. Their work stands out for its emotional depth and innovative approach to electronic music.",8,2,Mixed,No,,https://www.grauzonefestival.nl/potochkine,,"Toulon electronic/ techno / dark wave/ ebm duo Potochkine; Pauline Alcaïdé and Hugo Sempé, merge the pulsating energy of dance EBM with the enchanting allure of French chanson, creating a sound that is as poetic as it is powerful. Since their 2016 debut EP Libérez votre imagination, the pair have carved their own world of dark, theatrical electronics — equal parts body, blood, and poetry.",,No
Fellatio,,,,,,,,,,https://open.spotify.com/artist/6ZZjX94x3t55GigdSiidr4,,,,,,,,,https://www.grauzonefestival.nl/fellatio,,"Straight from Rotterdam’s underground,Fellatiodescribe themselves as anavant-garde disco-punk post-penis kraut-rock trio— a wild collision of rhythm, repetition, and existential tension. Their hypnotic, pulsating sound blends raw performance energy with mechanical groove, creating something both absurd and deeply compelling.",,No
Lust For Youth,,,,,,Synthpop/Darkwave,Denmark,"Lust For Youth is a Danish electronic music project known for their blend of melancholic synthpop and darkwave influences. Originally a solo project by Hannes Norrvide, it later evolved into a trio, gaining critical acclaim for their atmospheric soundscapes and emotive melodies.",,https://open.spotify.com/artist/18x7cMASHAS2NJ4kcLJa1u,,,"Lust For Youth combines brooding darkwave aesthetics with shimmering synthpop melodies, creating a nostalgic yet modern sound. Their music has been praised for its emotional depth and evocative production, making them a standout in the contemporary electronic scene.",8,3,Male,No,,https://www.grauzonefestival.nl/lust-for-youth,,"Lust for Youth is a Danish–Swedish electronic duo known for their evocative fusion of synthpop, post-punk, and darkwave. Formed in Gothenburg and now based in Copenhagen, the project began as the solo venture of Hannes Norrvide before evolving into a collaboration with Malthe Fischer, whose crystalline production and synthesizer work brought a new depth to the project’s sound. Their music captures both the melancholic and the euphoric,  a shimmering tension between detachment and desire.",,No
Frustration,,,,,,Post-punk/New Wave,France,"Frustration is a French post-punk band known for their raw energy and dark, driving sound, blending influences from 1980s post-punk and new wave with a modern edge. They have gained a strong following in the European underground music scene with their intense live performances and critically acclaimed albums.",,,,,"Frustration's music combines angular guitar riffs, pulsating basslines, and brooding vocals, evoking the spirit of bands like Joy Division and Wire while maintaining a distinct contemporary edge. Their reputation for electrifying live shows and their ability to channel raw emotion into their music have made them a standout in the European post-punk revival.",8,5,Male,No,,https://www.grauzonefestival.nl/frustration,,"A cornerstone of the French post-punk landscape,Frustrationfinally makes their long-awaited debut at Grauzone. Formed in Paris in 2002 by members of the city’s thriving punk underground (Operation S, No Talents, Steve & The Jerks, Les Terribles), the band set out to embrace the coldest, tensest edges of rock music. Their influences—Crisis, Warsaw/Joy Division, The Fall, Killing Joke—shape a sound that’s raw, direct, and unmistakably urgent.",,No
The Serfs,,,,,,Post-punk/Synthwave,USA,"The Serfs are a Cincinnati-based band blending post-punk aesthetics with synth-driven grooves, creating a dark, danceable sound that draws from 80s new wave and industrial influences. Known for their energetic live performances, they have gained a cult following in the underground music scene.",,,,,"The Serfs craft a unique fusion of brooding post-punk and pulsating synthwave, marked by their atmospheric soundscapes and infectious rhythms. Their music resonates with fans of retro-inspired yet forward-thinking electronic rock.",8,3,Mixed,No,,https://www.grauzonefestival.nl/the-serfs,,"Straight out of southwestern Ohio,The Serfsare a deliberately elusive collective whose sound channels industrial rhythms, metallic percussion, and hypnotic synth melodies. Their music feels like it was unearthed from a forgotten factory floor, mechanical yet strangely human, a dancefloor ritual wrapped in grit and electricity.",,No
Minuit Machine,,,,,,Darkwave/Synthwave,France,"Minuit Machine is a French electronic music duo formed in 2013, known for their melancholic and emotional darkwave sound that blends coldwave influences with modern synth-driven beats. The duo, composed of Amandine Stioui and Hélène de Thoury, has gained recognition for their atmospheric compositions and introspective lyrics.",,https://open.spotify.com/artist/5PW3MLdSbq1ptFI0QTCSID,,,"Minuit Machine's music is characterized by its haunting darkwave aesthetic, combining cold, pulsating synths with emotive vocals to create a deeply immersive and melancholic soundscape. Their work has been praised for its ability to evoke powerful emotions while maintaining a distinct, modern edge.",8,2,Female,No,,https://www.grauzonefestival.nl/minuit-machine,,"Hailing from Paris,Minuit Machineis another act that has won the hearts of the Grauzone audience. The project, led byAmandine Stioui, returns to the festival stage following a widely praised past performance—and now, with a powerful new release titledQueendom.",,No
Traitrs,,,,,,Post-punk/Darkwave,Canada,"Traitrs is a Canadian post-punk and darkwave duo known for their atmospheric soundscapes, melancholic melodies, and brooding lyrics. Their music draws inspiration from the gothic and post-punk movements of the 1980s, blending haunting vocals with cinematic instrumentation.",,,,,"Traitrs craft a dark, immersive sound that combines the moody aesthetics of 1980s post-punk with modern darkwave elements, earning them a dedicated following in the alternative music scene.",8,2,Male,No,,https://www.grauzonefestival.nl/traitrs,,"Toronto’s internationally acclaimed post-punk duo TRAITRS are coming to Grauzone with their new album Possessor, out early 2026.",,No
Deceits,,,,,,post-punk,United States,"[using festival bio due to a lack of publicly available data] For the first time in Europe, Los Angeles-based Deceits brings their heartfelt, melodic post-punk to Grauzone. Influenced by The Cure and Human Tetris, the trio’s debutIf There’s No Heaven...blends goth, shoegaze, and dream pop into emotionally charged songs. Their appearance marks a special moment we’re proud to host.InstagramSpotifyBandcampDate: tbcStage: tbc",,https://open.spotify.com/artist/7DwVOsVpXsANbs3cHOs6zh,,,,,3,,,,https://www.grauzonefestival.nl/deceits,,"For the first time in Europe, Los Angeles-based Deceits brings their heartfelt, melodic post-punk to Grauzone. Influenced by The Cure and Human Tetris, the trio’s debutIf There’s No Heaven...blends goth, shoegaze, and dream pop into emotionally charged songs. Their appearance marks a special moment we’re proud to host.InstagramSpotifyBandcampDate: tbcStage: tbc",,No
Sixth June,,,,,,Synthpop/Darkwave,Serbia,"Sixth June is a Serbian synthpop and darkwave duo formed by Laslo Antal and Lidija Andonov. Known for their atmospheric soundscapes and nostalgic 80s-inspired electronic music, they have gained a dedicated following in the underground electronic music scene.",,,,,"Sixth June masterfully blends melancholic synth melodies with darkwave aesthetics, creating a sound that is both hauntingly retro and refreshingly modern. Their music is characterized by cinematic textures, brooding vocals, and a deep connection to the 80s electronic era.",8,2,Mixed,No,,https://www.grauzonefestival.nl/sixth-june,,"After years of anticipation,Sixth Juneare finally coming to Grauzone. Formed in 2007 by visual artist Laslo Antal and actress Lidija Andonov, the Berlin-based duo has released several albums across respected labels including Mannequin Records, aufnahme+wiedergabe, Cleopatra, and Young and Cold. Since 2020, they’ve released music via their own label, Sweet Sensation.",,No
Neu Romancer,,,,,,"Italo disco, EBM",Germany,"[using festival bio due to a lack of publicly available data] Neu Romancer is no stranger to Grauzone. The Berlin-based producer previously performed synths live for Zanias and has since launched her own solo project, with releases on the renowned Fleisch Records label. Known for her sultry DJ sets blendingItalo disco,EBM, and hypnotic, dancefloor-ready beats, she brings a distinct energy that never fails to move a crowd.",,,,,,,1,female,,,https://www.grauzonefestival.nl/neu-romancer-radondo,,"Neu Romancer is no stranger to Grauzone. The Berlin-based producer previously performed synths live for Zanias and has since launched her own solo project, with releases on the renowned Fleisch Records label. Known for her sultry DJ sets blendingItalo disco,EBM, and hypnotic, dancefloor-ready beats, she brings a distinct energy that never fails to move a crowd.",,No
Torba,,,,,,"post-punk, dark wave, industrial music",Italy,"[using festival bio due to a lack of publicly available data] Luigi Pianezzola arrives with a distinct and destructive sound on his debut record, II.The Bassano del Grappa-based producer andThe Soft Moontouring musician makes stark electronic tracks which pull from punk, industrial and club music while retaining a modern grit of his own. In his solo project, TORBA, Pianezzola delves into the darker realms of post-punk, dark wave, and industrial music.During the global pandemic, he channeled the solitude of quarantine into his creative process, resulting in compositions that reflect the era’s uncertainty.II follows a debut self-titled EP released in late 2023, where Pianezzola discovered his signature approach with the help of producer Maurizio Baggio(The Soft Moon, Boy Harsher). They worked for an intense week at La Distilleria studio.TORBA’s music offers a visceral experience, characterized by distorted undertones and evocative lyrics that explore themes of dislocation and existential estrangement.Torba flits between angry and energetic offerings like ‘PUNTO’ and more reflective instrumentals. ‘SIDES’ and ‘ONDA’ are built on slow-moving climaxes, rhythmic playfulness and an enveloping nocturnal atmosphere. Giddy curiosity connects the two sides, as does a sense of danger. “I like to use acoustic sounds or samples and then I over-process to destroy it one piece at a time,” Pianezzola says. “I love to use bit reduction and digital distortion to keep just the tone and try to destroy everything else, to get to the very essence of the sound. Through TORBA, Luigi Pianezzola crafts a mechanical lamentation of a civilization lulled by industrial noise, with skies darkened by the end of the sun—a soundless cry marked by the eerie echo of silence",,https://open.spotify.com/artist/4kG6IAQ1p9TElT4scdn4wp,,,,,1,Male,,,https://www.grauzonefestival.nl/torba,,"Luigi Pianezzola arrives with a distinct and destructive sound on his debut record, II.The Bassano del Grappa-based producer andThe Soft Moontouring musician makes stark electronic tracks which pull from punk, industrial and club music while retaining a modern grit of his own. In his solo project, TORBA, Pianezzola delves into the darker realms of post-punk, dark wave, and industrial music.During the global pandemic, he channeled the solitude of quarantine into his creative process, resulting in compositions that reflect the era’s uncertainty.II follows a debut self-titled EP released in late 2023, where Pianezzola discovered his signature approach with the help of producer Maurizio Baggio(The Soft Moon, Boy Harsher). They worked for an intense week at La Distilleria studio.TORBA’s music offers a visceral experience, characterized by distorted undertones and evocative lyrics that explore themes of dislocation and existential estrangement.Torba flits between angry and energetic offerings like ‘PUNTO’ and more reflective instrumentals. ‘SIDES’ and ‘ONDA’ are built on slow-moving climaxes, rhythmic playfulness and an enveloping nocturnal atmosphere. Giddy curiosity connects the two sides, as does a sense of danger. “I like to use acoustic sounds or samples and then I over-process to destroy it one piece at a time,” Pianezzola says. “I love to use bit reduction and digital distortion to keep just the tone and try to destroy everything else, to get to the very essence of the sound. Through TORBA, Luigi Pianezzola crafts a mechanical lamentation of a civilization lulled by industrial noise, with skies darkened by the end of the sun—a soundless cry marked by the eerie echo of silence",,No
Youth Code,,,,,,Industrial/EBM,USA,"Youth Code is an American duo known for their aggressive fusion of industrial and EBM (Electronic Body Music), blending harsh electronics with punk-inspired energy. Since their formation in 2012, they have gained a dedicated following for their intense live performances and raw, visceral sound.",,https://open.spotify.com/artist/15VmPRQCJEZWaZWgHEroj0,,,"Youth Code's music combines the abrasive textures of industrial and EBM with a punk ethos, creating a visceral and cathartic sonic experience. Their high-energy live shows and uncompromising sound have earned them critical acclaim within the industrial and electronic music scenes.",8,2,Mixed,No,,https://www.grauzonefestival.nl/youth-code,,"American EBM virtuososYouth Code— the powerhouse duo of Sara Taylor and Ryan George — return with their first new release in five years:Yours, With Malice, released in 2025 on Sumerian Records.",,No
Male Tears,,,,,,Synthpop/Darkwave,USA,"Male Tears is a Los Angeles-based synthpop and darkwave project known for its retro-inspired sound, blending 80s new wave aesthetics with modern electronic production. The act has gained attention for its nostalgic yet fresh take on synth-driven music, often exploring themes of identity and emotion.",,,,,"Male Tears delivers a captivating mix of 80s-inspired synthpop and darkwave, characterized by moody atmospheres, catchy melodies, and introspective lyrics. Their music stands out for its ability to balance retro influences with contemporary electronic elements, appealing to fans of both classic and modern synth-driven genres.",8,1,Male,No,,https://www.grauzonefestival.nl/male-tears,,"LA synth pop bandMale Tearsare described as a ""goth's love affair with 1980s new wave"" blending darkwave, goth rock, EBM, new romantic and futurepop, creating a sound they call ""Dark Rave"". Releasing records on Avant Records (Nuovo Testamento, Buzz Kull, SDH, Qual) they began as a post-pandemic art project, founded by singer-songwriterJames Edward, and has since mutated into a full-fledgedweirdo-popfour-piece. Rooted in Edward’s taste for irony, camp, and erratically applied makeup, the band delivers a playful yet biting take on underground music culture. Their sound merges synth-driven pop, goth undertones, and a flair for melodrama, balancing catchy hooks with a satirical edge.",,No
